intent_id,pathologie,question_intent_exacte,moteur_avant,fiche_retrouvee_avant,moteur_apres,fiche_retrouvee_apres,couverture_contenu_avant,couverture_contenu_apres,source_urls
ACTIVITE_PHYSIQUE_MICI,MICI,Puis-je pratiquer une activité physique avec une MICI ?,ABSENT,,ABSENT,,ABSENT,ABSENT,https://www.afa.asso.fr/mediatheque-boutique/fiches-thematiques/
ALIMENTATION_MICI_DIVERSIFICATION,MICI,Comment diversifier à nouveau son alimentation avec une MICI ?,ABSENT,,ABSENT,,ABSENT,COUVERT,https://www.afa.asso.fr/alimentation-et-mici/lafa-vous-accompagne/alimentation-services/
ALIMENTATION_MICI_PLAISIR,MICI,Comment conserver une alimentation-plaisir avec une MICI ?,ABSENT,,ABSENT,,ABSENT,COUVERT,https://www.afa.asso.fr/alimentation-et-mici/lafa-vous-accompagne/alimentation-services/
ALIMENTATION_MICI_POUSSEE,MICI,Que manger pendant une poussée de MICI ?,ABSENT,,COUVERT,mici-alimentation-poussee,ABSENT,COUVERT,https://www.afa.asso.fr/alimentation-et-mici/lafa-vous-accompagne/alimentation-services/
ALIMENTATION_SPORT_DIABETE,Diabète,Comment adapter l’alimentation à l’activité physique avec un diabète ?,ABSENT,,ABSENT,,ABSENT,COUVERT,https://www.federationdesdiabetiques.org/diabete/alimentation/alimentation-et-activite-physique
ALIMENTS_INTERDITS_DIABETE,Diabète,Y a-t-il des aliments interdits en cas de diabète ?,ABSENT,,ABSENT,,ABSENT,ABSENT,https://www.federationdesdiabetiques.org/diabete/alimentation
APRES_DIAGNOSTIC_ALZHEIMER,Alzheimer,Comment faire face à l’annonce et à l’après-diagnostic d’Alzheimer ?,ABSENT,,ABSENT,,ABSENT,ABSENT,https://www.francealzheimer.org/le-diagnostic-comment-laffronter-et-imaginer-lapres/
COMPLICATIONS_DIABETE,Diabète,Quelles complications du diabète faut-il surveiller ?,COUVERT,diabete-type-2-depistage-complications,COUVERT,diabete-type-2-depistage-complications,COUVERT,COUVERT,https://www.federationdesdiabetiques.org/
CONDUITE_ALZHEIMER,Alzheimer,Quand et comment arrêter la conduite avec Alzheimer ?,ABSENT,,COUVERT,alzheimer-conduite-automobile,ABSENT,COUVERT,https://www.francealzheimer.org/comprendre-la-maladie/la-maladie-dalzheimer/toilette-repas-etc-vos-questions-quotidien/
DROITS_AIDANT_ALZHEIMER,Alzheimer,Qui peut être reconnu comme proche aidant ?,ABSENT,,ABSENT,,ABSENT,ABSENT,https://aides.francealzheimer.org/
